"","node_id","protocol","user_agent","connected_since","services","height","hostname","city","country_code","latitude","longitude","timezone","asn","organization_name"
"13077","104.9.30.99:8333","70016","/Satoshi:24.0.1/","1685113798","1033","791556","104-9-30-99.lightspeed.wchtks.sbcglobal.net","Hutchinson","US",38.0551,-97.9323,"America/Chicago","AS7018","ATT-INTERNET4"
"13078","99.32.27.69:8333","70016","/Satoshi:22.0.0/","1685137709","1033","791556","99-32-27-69.lightspeed.tnpkil.sbcglobal.net","Vernon Hills","US",42.2284,-87.9722,"America/Chicago","AS7018","ATT-INTERNET4"
"13079","77.163.90.210:8333","70016","/Satoshi:22.0.0/","1685139970","1033","791556","77-163-90-210.fixed.kpn.net","Enschede","NL",52.1889,6.8775,"Europe/Amsterdam","AS1136","KPN B.V."
"13080","54.73.9.40:8333","70015","/Satoshi:0.20.0/","1684328539","1033","791556","ec2-54-73-9-40.eu-west-1.compute.amazonaws.com","Dublin","IE",53.3379,-6.2591,"Europe/Dublin","AS16509","AMAZON-02"
"13081","mzn5pg732hsl5ycxb2r67ra4sq4lqyolwfljgnao3zked66l74ropkqd.onion:8333","70016","/Satoshi:24.0.1/","1685142235","1101","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13082","34.106.214.26:8333","70015","/Satoshi:0.20.1/","1685147785","1037","791556","26.214.106.34.bc.googleusercontent.com","Salt Lake City","US",40.759,-111.8876,"America/Denver","AS396982","GOOGLE-CLOUD-PLATFORM"
"13083","3.1.201.76:8333","70016","/Satoshi:24.1.0/","1685018499","1033","791556","ec2-3-1-201-76.ap-southeast-1.compute.amazonaws.com",NA,"SG",1.2929,103.8547,"Asia/Singapore","AS16509","AMAZON-02"
"13084","jbyenlixi6xwy3rhzbkvb62cni7wjkkri5xzm6ggpzxd3ljuqzldt5yd.onion:8333","70016","/Satoshi:24.0.1/","1685074247","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13085","keck6hnnfwu2q7fryltsmmzja2a4fpnz6gyrjuhjx6h64skv54mt2rid.onion:8333","70016","/Satoshi:23.0.0/","1685121102","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13086","v2jdwo5m76ebq5r6xbvumnn6qt5of3l52sq3aczgy7bmvmcj7732jayd.onion:8333","70016","/Satoshi:24.0.1/","1684988970","1101","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13087","md4sr3jzppiexotzp3l3vn5clbrai4blldetkt42u6cgb6757ri65iqd.onion:8333","70016","/Satoshi:24.0.1/","1685018956","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13088","plwqsnauvtva46dmma6iqfhuvaezwjq4fzrt3e75qqykgvfbii5c6fad.onion:8333","70016","/Satoshi:24.0.1/","1685045522","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13089","173.208.128.10:8333","70015","/Satoshi:0.19.1/","1684329479","1032","791556","173.208.128.10",NA,"US",37.751,-97.822,"America/Chicago","AS32097","WII"
"13090","111.90.140.23:8333","70015","/Satoshi:0.17.1/","1685120652","1037","791556","mail1.urricane.club",NA,"MY",2.5,112.5,"Asia/Kuching","AS45839","Shinjiru Technology Sdn Bhd"
"13091","ka5cme5laukd5agkfaknjj3wh2mdq6mhvj2eedtuulwbdizpwelzy6ad.onion:8333","70016","/Satoshi:24.0.1/","1684331751","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13092","rdafmvqb3bkrzfj63phcibglwifqowwnutwerzonm2fvaiuh2adeuxqd.onion:8333","70016","/Satoshi:24.0.1/","1685079250","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13093","duipebc5b636t2ykt45tqkju6oycs2lkh2agzad2yjs7wifxr4m73jad.onion:8333","70016","/Satoshi:24.0.1/","1684698837","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13094","104.199.56.247:8333","70015","/Satoshi:0.20.1/","1685147315","1037","791556","247.56.199.104.bc.googleusercontent.com","Brussels","BE",50.8534,4.347,"Europe/Brussels","AS396982","GOOGLE-CLOUD-PLATFORM"
"13095","76.69.202.247:8333","70016","/Satoshi:0.21.1/","1685146367","1033","791556","bras-base-frnhpq9703w-grc-07-76-69-202-247.dsl.bell.ca","Farnham","CA",45.2848,-72.9758,"America/Toronto","AS577","BACOM"
"13096","167.99.188.103:8333","70016","/Satoshi:24.0.0/","1684329961","67109896","791556","alice.opentimestamps.org","Toronto","CA",43.6547,-79.3623,"America/Toronto","AS14061","DIGITALOCEAN-ASN"
"13097","70.35.98.12:8333","70016","/Satoshi:23.0.0/","1684826325","1101","791556","rockdell.org","Kasson","US",44.0225,-92.7482,"America/Chicago","AS32264","KMTELECOM"
"13098","jyqegnk6zdu4tklk7s5jlgivrcmyonhpxkpomdyr62qaulhx53vxljad.onion:8333","70016","/Satoshi:23.0.0/","1684328587","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13099","xk2lgvy7bhslro7qd4zynhzulv72xaeujxwhwmgkzezvrnthygnt3lad.onion:8333","70016","/Satoshi:23.0.0/","1685057389","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13100","zkq4fgcc4bxksbsi74pjwjfby5tdwn26yhjnmewy2qy6a3l5p6bnaaad.onion:8333","70016","/Satoshi:23.0.0/","1685112542","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13101","[2a01:4f9:c011:2e88::1]:8333","70016","/Satoshi:22.0.0/","1685146363","1032","791556","2a01:4f9:c011:2e88::1","Helsinki","FI",60.1797,24.9344,"Europe/Helsinki","AS24940","Hetzner Online GmbH"
"13102","213.47.64.105:8333","70016","/Satoshi:0.21.1/","1685128077","1033","791556","213-47-64-105.cable.dynamic.surfer.at","Vienna","AT",48.217,16.3944,"Europe/Vienna","AS8412","T-Mobile Austria GmbH"
"13103","wnoyogjzhdvxcefolszctmq32tjsppdg4eia5wzgtyepb6kjaydcvfyd.onion:8333","70016","/Satoshi:0.21.0/","1684504813","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
